en,fr,it,de,es,ko,kana
It’s stuffed with pretty Pokémon knickknacks.,C’est plein d’objets Pokémon colorés.,Ci sono tantissimi oggetti per i Pokémon.,Da stehen jede Menge Pokémon-Objekte.,Está repleto de todo tipo de artículos Pokémon.,가지각색의 포켓몬 상품이 빽빽하게 진열되어 있다!,いろとりどりの　ポケモン　グッズが にぎやかに　ならべられている！
It’s chock full of Pokémon books and photo collections.,C’est rempli de livres et d’albums photo sur les Pokémon.,È stracolmo di libri sui Pokémon e di album di fotografie.,Es ist randvoll mit Pokémon-Büchern und Fotoalben.,Está llena de libros y colecciones de fotografías de Pokémon.,포켓몬 책이랑 사진집이 죽 진열되어 있다!,ポケモンの　ほんや　しゃしんしゅうが ズラリと　ならんでいる！
Everything appears to be arranged in a very orderly fashion.,Il y a plein d’objets bien rangés là-dedans.,Gli oggetti all’interno di questo mobile sono sistemati in perfetto ordine.,Hier sind allerlei Gegenstände wohlgeordnet untergebracht.,El mueble está lleno de todo tipo de objetos.,수납 가구 속에는 상품이 정리되어 채워져 있다,しゅうのうかぐの　なかには グッズが　せいりして　しまわれている
There’s a ton of convenient items. They all look useful.,C’est plein d’objets utiles ! Ça donne envie de tout emporter.,Ci sono tanti oggetti che sembrano utilissimi! Sarebbe bello averli tutti!,Eine enorme Menge praktischer Items. Sie sehen alle nützlich aus.,Todas estas cosas parecen muy útiles. ¡Dan ganas de usarlas todas!,편리해 보이는 상품이 가득 있다! 다 가지고 싶다!,べんりそうな　グッズが　いっぱい！ ぜんぶ　ほしくなっちゃう！
It’s brimming with all sorts of Pokémon novelties.,C’est encombré par toutes sortes d’objets Pokémon.,È pieno di articoli legati ai Pokémon!,Das Schränkchen ist mit Pokémon-Objekten gefüllt.,Un mueble muy práctico y bonito.,많은 포켓몬 상품이 빈틈없이 진열되어 있다!,たくさんの　ポケモン　グッズが ところせましと　ならべられてる！
Are these books for Pokémon to read?,Seraient-ce des livres pour Pokémon ?,Questi libri sono per i... Pokémon?,Sind das hier am Ende vielleicht Bücher für Pokémon?,¿Estos libros serán para que los lean los Pokémon?,혹시 이것은 포켓몬이 읽는 책?,ひょっとして　これは ポケモンが　よむ　ほん？
The trash can is empty.,La poubelle est vide.,Il cestino dei rifiuti è vuoto.,Der Abfalleimer ist leer.,La papelera está vacía.,쓰레기통 안은 텅 비었다!,ゴミばこの　なかは　からっぽ！
There’s a set of Pokémon picture books.,Ce sont des albums de Pokémon.,Un’intera collezione di libri illustrati dei Pokémon.,Eine Sammlung von Pokémon-Büchern.,Hay una colección de libros ilustrados de Pokémon.,포켓몬 그림책이 모여 있다!,ポケモンえほんが　そろってる！
It’s packed with all sorts of books.,Il y a toutes sortes de livres.,Ci sono libri di tutti i tipi.,Hier stehen jede Menge Bücher.,Hay un montón de libros de todo tipo.,다양한 책이 가득 있다!,いろんな　ほんが　いっぱいだ！
It’s filled with Pokémon magazines! “Pokémon Pal”... “Pokémon Handbook”... “Adorable Pokémon”...,Des magazines Pokémon ! « Nos Amis Les Pokémon »… « Manuel Pokémon »… « Graine de Pokémon »…,Riviste Pokémon! “Amico Pokémon”... “Manuale Pokémon”... “Pokémon adorabile”...,Da stehen mehrere Pokémon-Magazine! Der Pokémon-Freund... Das Pokémon-Handbuch... Geliebte Pokémon...,"¡Son revistas sobre Pokémon! “Nuestros amigos Pokémon”, “Todo sobre los Pokémon”, “Esos queridos Pokémon”...",포켓몬 잡지가 진열되어 있다! ...“포켓몬의 친구” ...“포켓몬수첩” ...“귀여운 포켓몬”,ポケモンざっしが　ならんでる！ ……「ポケモンのとも」 ……「ポケモン　てちょう」 ……「かわいい　ポケモン」
It’s a vase with a simple design... You peer inside... But there’s nothing in it!,"Ce vase semble avoir de la valeur. Étrangement, il est vide.","Sembra un vaso di valore. Vediamo cosa contiene... Oh, è vuoto!","Diese Vase sieht sehr teuer aus... Schauen wir mal hinein... Och, sie ist leer.","Este jarrón tiene un diseño muy estereotipado. A ver qué hay dentro... Vaya, está vacío.",흔한 디자인의 항아리가 있다 안은 텅 비었다!,ベタな　デザインの　つぼが　ある なかは　からっぽ　だ！
There’s nothing in it!,C’est vide.,È vuoto.,Leer...,No hay nada.,안은 텅 비었다!,なかは　からっぽ　だ！
It’s jammed with all sorts of Pokémon merchandise.,C’est encombré par toutes sortes d’objets Pokémon.,Gli scaffali traboccano di articoli legati ai Pokémon.,Die Regale biegen sich unter dem Gewicht von Pokémon-Objekten.,Los estantes están repletos de todo tipo de artículos Pokémon.,많은 포켓몬 굿즈가 빽빽하게 진열되어 있다!,たくさんの　ポケモン　グッズが ところせましと　ならべられてる！
Is it a blueprint of some sort? It’s too complicated to make sense of.,On dirait un plan de montage… C’est incompréhensible !,Che progetto è questo? Ha l’aria davvero complicata!,Sind das Blaupausen? Die sind zu kompliziert zu lesen.,¿Y este plano de qué será? ¡Esto no hay quien lo entienda!,무언가의 설계도...? 봐도 뭐가 뭔지 모르겠다!,なにかの　せっけいず……？ みても　チンプンカンプン！
